Soundfile,CorrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruc.started,Instruc.stopped,Trigger.keys,Trigger.corr,Trigger.rt,Trigger.started,Trigger.stopped,Tone.started,Tone.stopped,Response.keys,Response.corr,Response.rt,Response.started,Response.stopped,Response_screen.started,Response_screen.stopped,jitter_pre_fb,jitter_post_fb,jitter_cross_pre_fb.started,jitter_cross_pre_fb.stopped,FB_text.started,FB_text.stopped,jitter_cross_post_fb.started,jitter_cross_post_fb.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,12.810108462433618,None,5,1,30.839517781164886,12.810108462433618,None,,,,,,,,,,,,,,,,,,Subj_02,Run3,2021_Sep_27_1039,Tone_Learning,2021.1.4,60.12086848284276,
stimuli/mi3-aN.wav,3,0,0,0,18,,,,,,,,43.72822525250613,None,2,0,0.9886108959285593,43.727916734937025,None,43.727916734937025,None,2.8,2.5,45.71168258149737,None,48.51337953429356,None,49.27854734159291,None,Subj_02,Run3,2021_Sep_27_1039,Tone_Learning,2021.1.4,60.12086848284276,
stimuli/lu2-aN.wav,2,0,1,1,9,,,,,,,,52.07840026668841,52.37840858300251,1,0,0.746202010000161,52.078995431689236,None,52.078995431689236,None,2.1,2.0,54.07844124665462,None,56.178569317895835,None,56.9286092185107,None,Subj_02,Run3,2021_Sep_27_1039,Tone_Learning,2021.1.4,60.12086848284276,
stimuli/bu2-aN.wav,2,0,2,2,1,,,,,,,,59.02844646646886,None,3,0,0.9997646659971906,59.02821460054611,None,59.02821460054611,None,3.9,1.0,61.02786319202778,None,64.92877129816952,None,65.6788359707848,None,Subj_02,Run3,2021_Sep_27_1039,Tone_Learning,2021.1.4,60.12086848284276,
stimuli/null.wav,0,0,3,3,43,,,,,,,,69.5792883428982,69.87958932270158,None,0,,69.57997551818607,None,69.57997551818607,None,2.6,1.2,71.57963154126764,None,74.17973218636598,None,74.92974377612336,None,Subj_02,Run3,2021_Sep_27_1039,Tone_Learning,2021.1.4,60.12086848284276,
stimuli/ma4-aN.wav,4,0,4,4,15,,,,,,,,77.52969444445412,77.83001382631483,3,0,0.9795492982266296,77.52990033516517,None,77.52990033516517,None,2.2,1.2,79.52984796007877,None,81.73174790172288,None,82.49686014896452,None,Subj_02,Run3,2021_Sep_27_1039,Tone_Learning,2021.1.4,60.12086848284276,
stimuli/lu3-iN.wav,3,0,5,5,30,,,,,,,,84.69673947393463,None,2,0,1.0328912003128607,84.69734560939287,None,84.69734560939287,None,4.0,2.2,86.6967829311011,None,90.69691103773084,None,91.44690139434533,None,Subj_02,Run3,2021_Sep_27_1039,Tone_Learning,2021.1.4,60.12086848284276,
stimuli/di3-aN.wav,3,0,6,6,6,,,,,,,,95.44691526666534,None,1,0,0.8803239894527906,95.44697783366018,None,95.44697783366018,None,3.4,1.6,97.4476679108111,None,100.84793389131664,None,101.59795645153145,None,Subj_02,Run3,2021_Sep_27_1039,Tone_Learning,2021.1.4,60.12086848284276,
stimuli/mi4-aN.wav,4,0,7,7,19,,,,,,,,104.9980406055553,None,2,0,0.8760575432334008,104.99807061506408,None,104.99807061506408,None,2.7,2.7,106.99798532860586,None,109.69814999163054,None,110.44820192435964,None,Subj_02,Run3,2021_Sep_27_1039,Tone_Learning,2021.1.4,60.12086848284276,
stimuli/di4-iN.wav,4,0,8,8,27,,,,,,,,113.14818334535963,113.44822351138873,4,1,1.012043438764067,113.14825015898305,None,113.14825015898305,None,3.8,1.9,115.14826148332622,None,118.96514402617913,None,119.71512305845044,None,Subj_02,Run3,2021_Sep_27_1039,Tone_Learning,2021.1.4,60.12086848284276,
