Soundfile,CorrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruc.started,Instruc.stopped,Trigger.keys,Trigger.corr,Trigger.rt,Trigger.started,Trigger.stopped,Tone.started,Tone.stopped,Response.keys,Response.corr,Response.rt,Response.started,Response.stopped,Response_screen.started,Response_screen.stopped,jitter_pre_fb,jitter_post_fb,jitter_cross_pre_fb.started,jitter_cross_pre_fb.stopped,FB_text.started,FB_text.stopped,jitter_cross_post_fb.started,jitter_cross_post_fb.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,13.2844948,None,5,1,21.65275016,13.2844948,None,,,,,,,,,,,,,,,,,,Subj_004,Run1,2021_Oct_06_1058,Tone_Learning,2021.1.4,60.08682006
stimuli/lu2-iN.wav,2,0,0,0,29,,,,,,,,35.00077547,35.30079578,1,0,1.595978598,35.0173138,None,35.0173138,None,3.8,1.1,37.00145163,None,40.81825131,None,41.56817213,None,Subj_004,Run1,2021_Oct_06_1058,Tone_Learning,2021.1.4,60.08682006
stimuli/di3-iN.wav,3,0,1,1,26,,,,,,,,45.36834422,None,2,0,1.918223316,45.36831623,None,45.36831623,None,3.7,1.4,47.36827058,None,51.06804243,None,51.81830828,None,Subj_004,Run1,2021_Oct_06_1058,Tone_Learning,2021.1.4,60.08682006
stimuli/bu1-aN.wav,1,0,2,2,0,,,,,,,,55.51862409,55.81844984,1,1,1.280297022,55.51851223,None,55.51851223,None,2.3,2.4,57.51851152,None,59.8354915,None,60.58517804,None,Subj_004,Run1,2021_Oct_06_1058,Tone_Learning,2021.1.4,60.08682006
stimuli/bu1-iN.wav,1,0,3,3,20,,,,,,,,62.91860208,63.21862168,3,0,1.480940313,62.93537008,None,62.93537008,None,3,1.9,64.90208902,None,67.91874671,None,68.66870115,None,Subj_004,Run1,2021_Oct_06_1058,Tone_Learning,2021.1.4,60.08682006
stimuli/mi2-aN.wav,2,0,4,4,17,,,,,,,,71.6863052,71.98633475,2,1,1.943507299,71.70318825,None,71.70318825,None,3.1,2.2,73.68638263,None,76.80312699,None,77.55311717,None,Subj_004,Run1,2021_Oct_06_1058,Tone_Learning,2021.1.4,60.08682006
stimuli/bu4-iN.wav,4,0,5,5,23,,,,,,,,80.66981489,80.96986568,4,1,1.917664886,80.68655745,None,80.68655745,None,3.9,2,82.67014924,None,86.57003781,None,87.32003612,None,Subj_004,Run1,2021_Oct_06_1058,Tone_Learning,2021.1.4,60.08682006
stimuli/di2-iN.wav,2,0,6,6,25,,,,,,,,91.25334847,91.55335321,3,0,1.728150908,91.25341242,None,91.25341242,None,3,1.3,93.23653638,None,96.23750885,None,96.98685213,None,Subj_004,Run1,2021_Oct_06_1058,Tone_Learning,2021.1.4,60.08682006
stimuli/ma3-aN.wav,3,0,7,7,14,,,,,,,,100.0041384,100.3039783,1,0,1.74722068,100.0206761,None,100.0206761,None,2.3,1.6,102.0040194,None,104.3044854,None,105.0541712,None,Subj_004,Run1,2021_Oct_06_1058,Tone_Learning,2021.1.4,60.08682006
stimuli/di4-iN.wav,4,0,8,8,27,,,,,,,,107.3713972,107.6711681,None,0,,107.3879504,None,107.3879504,None,3.2,1.6,109.3712605,None,112.573216,None,113.3381755,None,Subj_004,Run1,2021_Oct_06_1058,Tone_Learning,2021.1.4,60.08682006
stimuli/null.wav,0,0,9,9,44,,,,,,,,116.5381882,116.8382122,None,0,,116.5382523,None,116.5382523,None,2.8,1.1,118.5380732,None,121.3382821,None,122.0882535,None,Subj_004,Run1,2021_Oct_06_1058,Tone_Learning,2021.1.4,60.08682006
stimuli/di3-aN.wav,3,0,10,10,6,,,,,,,,124.9220457,125.2223477,1,0,1.818949876,124.9223793,None,124.9223793,None,4,2,126.9057524,None,130.9225492,None,131.6724806,None,Subj_004,Run1,2021_Oct_06_1058,Tone_Learning,2021.1.4,60.08682006
