Soundfile,CorrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruc.started,Instruc.stopped,Trigger.keys,Trigger.corr,Trigger.rt,Trigger.started,Trigger.stopped,Tone.started,Tone.stopped,Response.keys,Response.corr,Response.started,Response.stopped,Response_screen.started,Response_screen.stopped,jitter_pre_fb,jitter_post_fb,jitter_cross_pre_fb.started,jitter_cross_pre_fb.stopped,FB_text.started,FB_text.stopped,jitter_cross_post_fb.started,jitter_cross_post_fb.stopped,Response.rt,participant,session,Group_ID,date,expName,psychopyVersion,frameRate,
,,,,,,21.32399113414749,None,5,1,35.21738821158715,21.32399113414749,None,,,,,,,,,,,,,,,,,,Subj_040,Run1,group_mand,2022_Mar_11_1541,Tone_Learning,2021.1.4,60.00146517351673,
stimuli/di2-aN.wav,2,0,0,0,5,,,,,,,,56.61001566706373,56.90998781529197,None,0,56.61178912067999,None,56.61178912067999,None,2.5,1.3,58.578670638817584,None,61.095465398862416,None,61.845409571454184,None,,Subj_040,Run1,group_mand,2022_Mar_11_1541,Tone_Learning,2021.1.4,60.00146517351673,
stimuli/lu4-aN.wav,4,0,1,1,11,,,,,,,,64.34541017308052,64.64563521681384,2,0,64.34698211718023,None,64.34698211718023,None,2.1,1.4,66.36208896075368,None,68.46343083576903,None,69.22876355473545,None,1.077129590012646,Subj_040,Run1,group_mand,2022_Mar_11_1541,Tone_Learning,2021.1.4,60.00146517351673,
stimuli/di3-aN.wav,3,0,2,2,6,,,,,,,,71.32880457151228,71.62884063371803,1,0,71.328850507472,None,71.328850507472,None,3.0,1.0,73.3289573846655,None,76.32889226743464,None,77.0787115140356,None,1.4759336979191175,Subj_040,Run1,group_mand,2022_Mar_11_1541,Tone_Learning,2021.1.4,60.00146517351673,
stimuli/bu1-iN.wav,1,0,3,3,20,,,,,,,,80.07889879685277,80.3789596319175,3,0,80.07895641144569,None,80.07895641144569,None,3.4,1.7,82.07900489547092,None,85.47902924365235,None,86.2289847409802,None,1.3578673116107893,Subj_040,Run1,group_mand,2022_Mar_11_1541,Tone_Learning,2021.1.4,60.00146517351673,
stimuli/bu2-iN.wav,2,0,4,4,21,,,,,,,,89.62901694569715,89.92901974149163,3,0,89.62904483285911,None,89.62904483285911,None,3.1,2.6,91.62903740100137,None,94.72920893535775,None,95.47905437040981,None,0.9542459442404834,Subj_040,Run1,group_mand,2022_Mar_11_1541,Tone_Learning,2021.1.4,60.00146517351673,
stimuli/null.wav,0,0,5,5,40,,,,,,,,98.57906601365372,98.87906668606001,None,0,98.57905214085258,None,98.57905214085258,None,2.6,1.8,100.57906912795625,None,103.17891596090521,None,103.92914926815638,None,,Subj_040,Run1,group_mand,2022_Mar_11_1541,Tone_Learning,2021.1.4,60.00146517351673,
stimuli/null.wav,0,0,6,6,41,,,,,,,,106.52921417304802,106.8291943193708,None,0,106.52926117070137,None,106.52926117070137,None,3.2,1.6,108.52921056328842,None,111.72972774981372,None,112.47968572442733,None,,Subj_040,Run1,group_mand,2022_Mar_11_1541,Tone_Learning,2021.1.4,60.00146517351673,
stimuli/di1-iN.wav,1,0,7,7,24,,,,,,,,115.67969832319582,115.97976623622026,1,1,115.67978354183197,None,115.67978354183197,None,3.7,2.4,117.67993854915267,None,121.39701833864001,None,122.1470290440543,None,1.2447462958380129,Subj_040,Run1,group_mand,2022_Mar_11_1541,Tone_Learning,2021.1.4,60.00146517351673,
stimuli/mi3-aN.wav,3,0,8,8,18,,,,,,,,125.84707119330474,126.14702479727839,4,0,125.84714402551162,None,125.84714402551162,None,3.0,1.6,127.84712703840796,None,130.84898818794636,None,131.61407424001254,None,1.265684670519022,Subj_040,Run1,group_mand,2022_Mar_11_1541,Tone_Learning,2021.1.4,60.00146517351673,
