Soundfile,CorrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruc.started,Instruc.stopped,Trigger.keys,Trigger.corr,Trigger.rt,Trigger.started,Trigger.stopped,Tone.started,Tone.stopped,Response.keys,Response.corr,Response.rt,Response.started,Response.stopped,Response_screen.started,Response_screen.stopped,jitter_pre_fb,jitter_post_fb,jitter_cross_pre_fb.started,jitter_cross_pre_fb.stopped,FB_text.started,FB_text.stopped,jitter_cross_post_fb.started,jitter_cross_post_fb.stopped,participant,session,Group_ID,date,expName,psychopyVersion,frameRate,
,,,,,,24.00415822929517,None,5,1,29.96839356454757,24.00415822929517,None,,,,,,,,,,,,,,,,,,Subj_041,Run2,group mand,2022_Mar_31_1246,Tone_Learning,2021.1.4,59.998301367228265,
stimuli/mi4-iN.wav,4,0,0,0,39,,,,,,,,54.05414885116102,54.35420788032229,1,0,1.5152484922436997,54.07020400449869,None,54.07020400449869,None,3.4,3.0,56.03769195978953,None,59.45455780858833,None,60.20450808678288,None,Subj_041,Run2,group mand,2022_Mar_31_1246,Tone_Learning,2021.1.4,59.998301367228265,
stimuli/null.wav,0,0,1,1,40,,,,,,,,63.60460048794607,63.90467922888388,None,0,,63.60468828851526,None,63.60468828851526,None,3.8,1.9,65.60472332380891,None,69.4047871658995,None,70.1547919434397,None,Subj_041,Run2,group mand,2022_Mar_31_1246,Tone_Learning,2021.1.4,59.998301367228265,
stimuli/bu4-iN.wav,4,0,2,2,23,,,,,,,,73.95546692137441,74.2555350455566,4,1,1.8368728417021885,73.95560072788476,None,73.95560072788476,None,2.8,2.3,75.95555932253774,None,78.77230137996594,None,79.52230757307348,None,Subj_041,Run2,group mand,2022_Mar_31_1246,Tone_Learning,2021.1.4,59.998301367228265,
stimuli/mi3-aN.wav,3,0,3,3,18,,,,,,,,82.32229670859351,82.62203394389121,3,1,1.6493282070919122,82.32229639009074,None,82.32229639009074,None,3.4,2.7,84.32229391284773,None,87.72208412575628,None,88.4724123604517,None,Subj_041,Run2,group mand,2022_Mar_31_1246,Tone_Learning,2021.1.4,59.998301367228265,
stimuli/di2-aN.wav,2,0,4,4,5,,,,,,,,91.87245203172847,92.17253466547663,None,0,,91.87252956943394,None,91.87252956943394,None,2.5,1.4,93.87252178381323,None,96.38940065583233,None,97.1393304082992,None,Subj_041,Run2,group mand,2022_Mar_31_1246,Tone_Learning,2021.1.4,59.998301367228265,
stimuli/di1-iN.wav,1,0,5,5,24,,,,,,,,99.63933957409836,None,1,1,1.205989124195412,99.63955336016784,None,99.63955336016784,None,2.9,2.6,101.6394316213698,None,104.54152106965944,None,105.30595614147478,None,Subj_041,Run2,group mand,2022_Mar_31_1246,Tone_Learning,2021.1.4,59.998301367228265,
stimuli/null.wav,0,0,6,6,42,,,,,,,,108.20620071613553,108.50626247026435,None,0,,108.20626480595047,None,108.20626480595047,None,2.8,2.7,110.20606733429554,None,113.0063980108448,None,113.75636562974,None,Subj_041,Run2,group mand,2022_Mar_31_1246,Tone_Learning,2021.1.4,59.998301367228265,
stimuli/di3-aN.wav,3,0,7,7,6,,,,,,,,116.55616791036073,None,3,1,1.4343817261569711,116.55620121158427,None,116.55620121158427,None,2.3,2.0,118.55646556879992,None,120.85863542131892,None,121.62344526460856,None,Subj_041,Run2,group mand,2022_Mar_31_1246,Tone_Learning,2021.1.4,59.998301367228265,
stimuli/lu3-aN.wav,3,0,8,8,10,,,,,,,,123.92347226655716,124.22349013809571,3,1,1.0178435812158568,123.9234988438352,None,123.9234988438352,None,3.6,1.6,125.92355334318108,None,129.52365660882424,None,130.2733619938549,None,Subj_041,Run2,group mand,2022_Mar_31_1246,Tone_Learning,2021.1.4,59.998301367228265,
stimuli/di2-iN.wav,2,0,9,9,25,,,,,,,,133.8735452036683,134.17366747330425,None,0,,133.8736807796381,None,133.8736807796381,None,2.7,1.2,135.8737508502254,None,138.59051527361862,None,139.34047298354199,None,Subj_041,Run2,group mand,2022_Mar_31_1246,Tone_Learning,2021.1.4,59.998301367228265,
stimuli/bu1-iN.wav,1,0,10,10,20,,,,,,,,142.04048625448672,142.3405281906712,1,1,1.0241287005583217,142.04053866587037,None,142.04053866587037,None,2.9,1.3,144.04055069819333,None,146.95741902423515,None,147.70737567248307,None,Subj_041,Run2,group mand,2022_Mar_31_1246,Tone_Learning,2021.1.4,59.998301367228265,
stimuli/lu3-iN.wav,3,0,11,11,30,,,,,,,,150.60732793247166,None,3,1,0.875670005754273,150.60745289168563,None,150.60745289168563,None,3.3,2.4,152.60743696655254,None,155.90761688517114,None,156.6575972441733,None,Subj_041,Run2,group mand,2022_Mar_31_1246,Tone_Learning,2021.1.4,59.998301367228265,
stimuli/bu2-aN.wav,2,0,12,12,1,,,,,,,,159.95757965574808,160.25789798147161,1,0,1.259933213529166,159.9577339879861,None,159.9577339879861,None,3.7,1.4,161.95822483598886,None,165.66036255512745,None,166.42528599770276,None,Subj_041,Run2,group mand,2022_Mar_31_1246,Tone_Learning,2021.1.4,59.998301367228265,
stimuli/mi1-iN.wav,1,0,13,13,36,,,,,,,,170.12524158427482,170.42539853531252,1,1,1.025037848733973,170.12622260788567,None,170.12622260788567,None,2.5,2.6,172.12535946565185,None,174.626736812751,None,175.3919253203253,None,Subj_041,Run2,group mand,2022_Mar_31_1246,Tone_Learning,2021.1.4,59.998301367228265,
stimuli/bu3-iN.wav,3,0,14,14,22,,,,,,,,177.89208382848688,None,3,1,0.9580493056287196,177.89210368182012,None,177.89210368182012,None,2.7,2.4,179.89209094171338,None,182.59215025398817,None,183.34219183628102,None,Subj_041,Run2,group mand,2022_Mar_31_1246,Tone_Learning,2021.1.4,59.998301367228265,
stimuli/ma4-aN.wav,4,0,15,15,15,,,,,,,,186.0422178473325,None,4,1,1.0592255713763734,186.0422769826614,None,186.0422769826614,None,3.1,1.6,188.0422653042301,None,191.14236750819782,None,191.8923977659515,None,Subj_041,Run2,group mand,2022_Mar_31_1246,Tone_Learning,2021.1.4,59.998301367228265,
stimuli/lu4-aN.wav,4,0,16,16,11,,,,,,,,194.99312738478898,None,4,1,1.0338189673293527,194.99321978595208,None,194.99321978595208,None,2.7,2.6,196.99320704584534,None,199.69333642870743,None,200.44336704035277,None,Subj_041,Run2,group mand,2022_Mar_31_1246,Tone_Learning,2021.1.4,59.998301367228265,
stimuli/mi2-iN.wav,2,0,17,17,37,,,,,,,,203.1433934052959,203.44374995134012,None,0,,203.1443914157162,None,203.1443914157162,None,3.9,1.6,205.16008793504807,None,209.07687946655778,None,209.82680001783638,None,Subj_041,Run2,group mand,2022_Mar_31_1246,Tone_Learning,2021.1.4,59.998301367228265,
stimuli/bu2-iN.wav,2,0,18,18,21,,,,,,,,213.726835088519,214.02688445643298,None,0,,213.72692961303346,None,213.72692961303346,None,3.1,2.4,215.72673992699947,None,218.8270031517609,None,219.57697430957478,None,Subj_041,Run2,group mand,2022_Mar_31_1246,Tone_Learning,2021.1.4,59.998301367228265,
stimuli/ma3-iN.wav,3,0,19,19,34,,,,,,,,222.6770322416712,222.9771198299054,None,0,,222.67709491591904,None,222.67709491591904,None,2.3,2.0,224.6770142285759,None,226.9771035508802,None,227.7272056486804,None,Subj_041,Run2,group mand,2022_Mar_31_1246,Tone_Learning,2021.1.4,59.998301367228265,
stimuli/bu3-aN.wav,3,0,20,20,2,,,,,,,,230.02715797944734,230.32716063363614,3,1,0.9853294131548864,230.02716686213307,None,230.02716686213307,None,2.6,1.4,232.02744289778002,None,234.6438977365783,None,235.39386712493297,None,Subj_041,Run2,group mand,2022_Mar_31_1246,Tone_Learning,2021.1.4,59.998301367228265,
stimuli/null.wav,0,0,21,21,41,,,,,,,,237.993894976222,238.29420480854105,None,0,,237.9947691244929,None,237.9947691244929,None,2.4,1.5,239.99428216930028,None,242.3943735441776,None,243.14426649189136,None,Subj_041,Run2,group mand,2022_Mar_31_1246,Tone_Learning,2021.1.4,59.998301367228265,
stimuli/di4-aN.wav,4,0,22,22,7,,,,,,,,245.54439640559144,245.84433819038122,4,1,0.9563552253193848,245.54448279059307,None,245.54448279059307,None,3.2,2.1,247.544375561361,None,250.74442814969052,None,251.49486821421215,None,Subj_041,Run2,group mand,2022_Mar_31_1246,Tone_Learning,2021.1.4,59.998301367228265,
stimuli/bu1-aN.wav,1,0,23,23,0,,,,,,,,254.69461040399597,254.9949489015553,None,0,,254.69468900337688,None,254.69468900337688,None,4.0,2.2,256.695415543355,None,260.7119069037931,None,261.46271501584397,None,Subj_041,Run2,group mand,2022_Mar_31_1246,Tone_Learning,2021.1.4,59.998301367228265,
stimuli/mi4-aN.wav,4,0,24,24,19,,,,,,,,265.46191306151127,None,4,1,1.1697785557103089,265.46199626148655,None,265.46199626148655,None,2.7,1.8,267.46202740396984,None,270.1628882812961,None,270.91267293810233,None,Subj_041,Run2,group mand,2022_Mar_31_1246,Tone_Learning,2021.1.4,59.998301367228265,
stimuli/di1-aN.wav,1,0,25,25,4,,,,,,,,273.6123935404828,273.9126233932425,1,1,1.1310341215448716,273.61232279750084,None,273.61232279750084,None,2.1,2.0,275.61229342447723,None,277.71264689166173,None,278.4628802833399,None,Subj_041,Run2,group mand,2022_Mar_31_1246,Tone_Learning,2021.1.4,59.998301367228265,
stimuli/lu2-iN.wav,2,0,26,26,29,,,,,,,,280.56250292845493,280.86309339701484,None,0,,280.56359224297375,None,280.56359224297375,None,3.2,2.2,282.56269866604,None,285.763880169387,None,286.5294232766,None,Subj_041,Run2,group mand,2022_Mar_31_1246,Tone_Learning,2021.1.4,59.998301367228265,
stimuli/ma1-iN.wav,1,0,27,27,32,,,,,,,,289.7294365475443,None,4,0,0.862451437189975,289.7301344576713,None,289.7301344576713,None,2.2,2.9,291.72960185042984,None,293.93001788569427,None,294.6795636654988,None,Subj_041,Run2,group mand,2022_Mar_31_1246,Tone_Learning,2021.1.4,59.998301367228265,
stimuli/null.wav,0,0,28,28,43,,,,,,,,296.8795181903954,297.1795480942569,None,0,,296.8795918352903,None,296.8795918352903,None,2.1,1.2,298.8793554355311,None,300.9796299848322,None,301.72977702689786,None,Subj_041,Run2,group mand,2022_Mar_31_1246,Tone_Learning,2021.1.4,59.998301367228265,
stimuli/ma1-aN.wav,1,0,29,29,12,,,,,,,,303.82972348306043,None,1,1,1.6292349353543614,303.82979677406365,None,303.82979677406365,None,3.1,1.7,305.8298197770341,None,308.93048643851034,None,309.67997524172597,None,Subj_041,Run2,group mand,2022_Mar_31_1246,Tone_Learning,2021.1.4,59.998301367228265,
stimuli/ma4-iN.wav,4,0,30,30,35,,,,,,,,312.7803969746494,313.0804205084578,4,1,1.1655831677708193,312.7804879602454,None,312.7804879602454,None,2.6,1.0,314.7804649572745,None,317.38060821269755,None,318.1304958520336,None,Subj_041,Run2,group mand,2022_Mar_31_1246,Tone_Learning,2021.1.4,59.998301367228265,
stimuli/null.wav,0,0,31,31,44,,,,,,,,320.7307993850775,321.0308285811557,None,0,,320.73104112860347,None,320.73104112860347,None,2.1,2.5,322.7308578126226,None,324.8309692177786,None,325.5809785959127,None,Subj_041,Run2,group mand,2022_Mar_31_1246,Tone_Learning,2021.1.4,59.998301367228265,
stimuli/di3-iN.wav,3,0,32,32,26,,,,,,,,327.6809130197523,327.98075323757985,3,1,1.0139681115124404,327.6809406587058,None,327.6809406587058,None,3.6,1.0,329.68096295389296,None,333.2820624251076,None,334.0477152387957,None,Subj_041,Run2,group mand,2022_Mar_31_1246,Tone_Learning,2021.1.4,59.998301367228265,
stimuli/lu4-iN.wav,4,0,33,33,31,,,,,,,,337.64759516328945,None,4,1,1.00447531639702,337.64797315517944,None,337.64797315517944,None,3.7,1.5,339.6478174427634,None,343.34775253899716,None,344.09779305961456,None,Subj_041,Run2,group mand,2022_Mar_31_1246,Tone_Learning,2021.1.4,59.998301367228265,
stimuli/mi1-aN.wav,1,0,34,34,16,,,,,,,,347.7978764011466,348.09783835777216,1,1,1.0966096452516467,347.7982483768751,None,347.7982483768751,None,3.5,1.1,349.7974393800946,None,353.2978877610749,None,354.04821210295995,None,Subj_041,Run2,group mand,2022_Mar_31_1246,Tone_Learning,2021.1.4,59.998301367228265,
stimuli/bu4-aN.wav,4,0,35,35,3,,,,,,,,357.54817490892606,357.8479708902714,None,0,,357.5482750957103,None,357.5482750957103,None,2.4,1.4,359.5485394529255,None,361.94928128103174,None,362.7149921329842,None,Subj_041,Run2,group mand,2022_Mar_31_1246,Tone_Learning,2021.1.4,59.998301367228265,
stimuli/ma2-aN.wav,2,0,36,36,13,,,,,,,,365.1150059701556,None,1,0,1.2272923521845769,365.11503891748725,None,365.11503891748725,None,3.3,1.4,367.11505307316156,None,370.43188183409393,None,371.1818321122887,None,Subj_041,Run2,group mand,2022_Mar_31_1246,Tone_Learning,2021.1.4,59.998301367228265,
stimuli/lu1-iN.wav,1,0,37,37,28,,,,,,,,374.4818877794771,374.7819410402017,1,1,1.3099112368449823,374.4819709794524,None,374.4819709794524,None,2.1,2.7,376.4819295741054,None,378.5835867788833,None,379.3486408075528,None,Subj_041,Run2,group mand,2022_Mar_31_1246,Tone_Learning,2021.1.4,59.998301367228265,
stimuli/mi2-aN.wav,2,0,38,38,17,,,,,,,,381.44869838575755,381.74872545848484,1,0,1.8386016034132808,381.44880104978483,None,381.44880104978483,None,3.7,2.3,383.4487578749786,None,387.1504029766552,None,387.91566863265416,None,Subj_041,Run2,group mand,2022_Mar_31_1246,Tone_Learning,2021.1.4,59.998301367228265,
stimuli/mi3-iN.wav,3,0,39,39,38,,,,,,,,391.61548974032144,None,3,1,0.9934862665190849,391.61562885520925,None,391.61562885520925,None,2.4,1.5,393.61556798581023,None,396.0167199745765,None,396.78228183805777,None,Subj_041,Run2,group mand,2022_Mar_31_1246,Tone_Learning,2021.1.4,59.998301367228265,
stimuli/lu2-aN.wav,2,0,40,40,9,,,,,,,,399.18222383518264,None,None,0,,399.18233923931666,None,399.18233923931666,None,3.3,1.6,401.1823650734218,None,404.49921577564965,None,405.24912535628073,None,Subj_041,Run2,group mand,2022_Mar_31_1246,Tone_Learning,2021.1.4,59.998301367228265,
stimuli/di4-iN.wav,4,0,41,41,27,,,,,,,,408.54914067979803,408.8491642136064,4,1,1.4742087155073023,408.54917114988666,None,408.54917114988666,None,2.4,2.8,410.5491587636716,None,412.949783099682,None,413.69920537122925,None,Subj_041,Run2,group mand,2022_Mar_31_1246,Tone_Learning,2021.1.4,59.998301367228265,
stimuli/lu1-aN.wav,1,0,42,42,8,,,,,,,,416.09919974434865,416.3990636729304,1,1,1.4215708410101797,416.09927374313565,None,416.09927374313565,None,2.0,2.2,418.09928117486425,None,420.099337797561,None,420.84935920801854,None,Subj_041,Run2,group mand,2022_Mar_31_1246,Tone_Learning,2021.1.4,59.998301367228265,
